date;system_time;cycle_time;battery_state;voltage[V];current[mA];capacity[mAh]
2025-10-25;02:06:56;0:00:29.937298;charging;4.204;0.18;30
2025-10-25;02:06:56;0:00:30.046079;charging;4.197;0.18;30
2025-10-25;02:06:57;0:00:30.149288;charging;4.197;0.18;30
2025-10-25;02:06:57;0:00:30.253515;charging;4.197;0.18;30
2025-10-25;02:06:57;0:00:30.387368;charging;4.197;0.18;30
2025-10-25;02:06:57;0:00:30.498151;charging;4.197;0.18;30
2025-10-25;02:06:57;0:00:30.605802;charging;4.197;0.18;30
2025-10-25;02:06:57;0:00:30.710412;charging;4.197;0.18;30
2025-10-25;02:06:57;0:00:30.819304;charging;4.197;0.18;30
2025-10-25;02:06:57;0:00:30.924707;charging;4.197;0.17;30
2025-10-25;02:06:57;0:00:31.036508;charging;4.197;0.18;31
2025-10-25;02:06:58;0:00:31.142002;charging;4.196;0.17;31
2025-10-25;02:06:58;0:00:31.244775;charging;4.197;0.17;31
2025-10-25;02:06:58;0:00:31.348083;charging;4.202;0.18;31
2025-10-25;02:06:58;0:00:31.450446;charging;4.197;0.18;31
2025-10-25;02:06:58;0:00:31.552708;charging;4.202;0.18;31
2025-10-25;02:06:58;0:00:31.656026;charging;4.197;0.18;31
2025-10-25;02:06:58;0:00:31.760876;charging;4.203;0.17;31
2025-10-25;02:06:58;0:00:31.863674;charging;4.203;0.18;31
2025-10-25;02:06:58;0:00:32.012241;charging;4.197;0.18;31
2025-10-25;02:06:59;0:00:32.118120;charging;4.197;0.18;32
2025-10-25;02:06:59;0:00:32.223009;charging;4.205;0.18;32
2025-10-25;02:06:59;0:00:32.327937;charging;4.203;0.17;32
2025-10-25;02:06:59;0:00:32.430955;charging;4.197;0.18;32
2025-10-25;02:06:59;0:00:32.535147;charging;4.196;0.17;32
2025-10-25;02:06:59;0:00:32.638665;charging;4.196;0.17;32
2025-10-25;02:06:59;0:00:32.743897;charging;4.197;0.17;32
2025-10-25;02:06:59;0:00:32.848634;charging;4.197;0.18;32
2025-10-25;02:06:59;0:00:32.953254;charging;4.197;0.17;32
2025-10-25;02:06:59;0:00:33.064325;charging;4.197;0.17;32
2025-10-25;02:07:00;0:00:33.190668;charging;4.201;0.17;33
2025-10-25;02:07:00;0:00:33.295137;charging;4.197;0.17;33
2025-10-25;02:07:00;0:00:33.399740;charging;4.197;0.17;33
2025-10-25;02:07:00;0:00:33.513892;charging;4.202;0.17;33
2025-10-25;02:07:00;0:00:33.616099;charging;4.197;0.17;33
2025-10-25;02:07:00;0:00:33.729047;charging;4.197;0.17;33
2025-10-25;02:07:00;0:00:33.834150;charging;4.203;0.17;33
2025-10-25;02:07:00;0:00:33.936396;charging;4.197;0.17;33
2025-10-25;02:07:00;0:00:34.038926;charging;4.197;0.17;33
2025-10-25;02:07:01;0:00:34.142563;charging;4.197;0.17;33
2025-10-25;02:07:01;0:00:34.247138;charging;4.196;0.17;34
2025-10-25;02:07:01;0:00:34.350362;charging;4.196;0.17;34
2025-10-25;02:07:01;0:00:34.454574;charging;4.196;0.17;34
2025-10-25;02:07:01;0:00:34.558817;charging;4.204;0.17;34
2025-10-25;02:07:01;0:00:34.662645;charging;4.197;0.17;34
2025-10-25;02:07:01;0:00:34.766461;charging;4.197;0.17;34
2025-10-25;02:07:01;0:00:34.872683;charging;4.203;0.17;34
2025-10-25;02:07:01;0:00:34.977477;charging;4.197;0.17;34
2025-10-25;02:07:02;0:00:35.093917;charging;4.202;0.17;34
2025-10-25;02:07:02;0:00:35.272017;charging;4.197;0.17;34
2025-10-25;02:07:02;0:00:35.377817;charging;4.197;0.17;35
