iCharger106B;Outlet
Time [hh:mm:ss.SSS];Voltage [V];Current [A];Capacity [mAh]
00:14:08.000;4.20;0.39;104
00:14:10.000;4.20;0.38;104
00:14:12.000;4.20;0.38;105
00:14:14.000;4.20;0.38;105
00:14:16.000;4.20;0.38;105
00:14:18.000;4.20;0.39;105
00:14:20.000;4.20;0.38;106
00:14:22.000;4.20;0.38;106
00:14:24.000;4.20;0.39;106
00:14:26.000;4.20;0.38;106
00:14:28.000;4.20;0.39;106
00:14:30.000;4.20;0.38;107
00:14:32.000;4.20;0.38;107
00:14:34.000;4.20;0.38;107
00:14:36.000;4.20;0.39;107
00:14:38.000;4.20;0.38;108
00:14:40.000;4.20;0.38;108
00:14:42.000;4.20;0.39;108
00:14:44.000;4.20;0.38;108
00:14:46.000;4.20;0.39;108
00:14:48.000;4.20;0.38;109
00:14:50.000;4.20;0.38;109
00:14:52.000;4.20;0.38;109
00:14:54.000;4.20;0.39;109
00:14:56.000;4.20;0.38;109
00:14:58.000;4.20;0.38;110
00:15:00.000;4.20;0.38;110
00:15:02.000;4.20;0.38;110
00:15:04.000;4.20;0.38;110
00:15:06.000;4.20;0.38;110
00:15:08.000;4.20;0.38;111
00:15:10.000;4.20;0.38;111
00:15:12.000;4.20;0.38;111
00:15:14.000;4.20;0.38;111
00:15:16.000;4.20;0.38;112
00:15:18.000;4.20;0.38;112
00:15:20.000;4.20;0.38;112
00:15:22.000;4.20;0.38;112
00:15:24.000;4.20;0.38;112
00:15:26.000;4.20;0.38;113
00:15:28.000;4.20;0.38;113
00:15:30.000;4.20;0.38;113
00:15:32.000;4.20;0.38;113
00:15:34.000;4.20;0.39;113
00:15:36.000;4.20;0.38;114
00:15:38.000;4.20;0.38;114
00:15:40.000;4.20;0.38;114
00:15:42.000;4.20;0.38;114
00:15:44.000;4.20;0.38;115
00:15:46.000;4.20;0.38;115
00:15:48.000;4.20;0.38;115
00:15:50.000;4.20;0.38;115
00:15:52.000;4.20;0.38;115
00:15:54.000;4.20;0.38;116
00:15:56.000;4.20;0.38;116
00:15:58.000;4.20;0.38;116
00:16:00.000;4.20;0.38;116
00:16:02.000;4.20;0.39;116
00:16:04.000;4.20;0.38;117
00:16:06.000;4.20;0.38;117
00:16:08.000;4.20;0.38;117
00:16:10.000;4.20;0.38;117
00:16:12.000;4.20;0.38;118
00:16:14.000;4.20;0.38;118
00:16:16.000;4.20;0.38;118
00:16:18.000;4.20;0.38;118
00:16:20.000;4.20;0.38;118
00:16:22.000;4.20;0.38;119
00:16:24.000;4.20;0.39;119
00:16:26.000;4.20;0.38;119
00:16:28.000;4.20;0.38;119
00:16:30.000;4.20;0.38;119
00:16:32.000;4.20;0.38;120
