date;system_time;cycle_time;battery_state;voltage[V];current[mA];capacity[mAh]
2025-10-25; 02:00:44;0:00:18.868998;charging;4.197;0.18;19
2025-10-25; 02:00:45;0:00:18.986097;charging;4.197;0.18;19
2025-10-25; 02:00:45;0:00:19.089385;charging;4.197;0.18;19
2025-10-25; 02:00:45;0:00:19.193511;charging;4.197;0.18;19
2025-10-25; 02:00:45;0:00:19.298963;charging;4.197;0.18;20
2025-10-25; 02:00:45;0:00:19.411723;charging;4.197;0.18;20
2025-10-25; 02:00:45;0:00:19.518128;charging;4.197;0.18;20
2025-10-25; 02:00:45;0:00:19.620914;charging;4.197;0.18;20
2025-10-25; 02:00:45;0:00:19.726344;charging;4.197;0.18;20
2025-10-25; 02:00:45;0:00:19.831985;charging;4.197;0.18;20
2025-10-25; 02:00:45;0:00:19.939567;charging;4.197;0.18;20
2025-10-25; 02:00:46;0:00:20.043956;charging;4.197;0.18;20
2025-10-25; 02:00:46;0:00:20.151992;charging;4.197;0.18;20
2025-10-25; 02:00:46;0:00:20.256577;charging;4.197;0.18;20
2025-10-25; 02:00:46;0:00:20.383477;charging;4.197;0.18;21
2025-10-25; 02:00:46;0:00:20.486562;charging;4.197;0.18;21
2025-10-25; 02:00:46;0:00:20.596370;charging;4.197;0.18;21
2025-10-25; 02:00:46;0:00:20.700118;charging;4.197;0.18;21
2025-10-25; 02:00:46;0:00:20.802899;charging;4.197;0.18;21
2025-10-25; 02:00:46;0:00:20.905861;charging;4.197;0.18;21
2025-10-25; 02:00:47;0:00:21.008668;charging;4.203;0.18;21
2025-10-25; 02:00:47;0:00:21.111821;charging;4.203;0.18;21
2025-10-25; 02:00:47;0:00:21.218259;charging;4.197;0.18;21
2025-10-25; 02:00:47;0:00:21.324387;charging;4.197;0.18;22
2025-10-25; 02:00:47;0:00:21.429294;charging;4.197;0.18;22
2025-10-25; 02:00:47;0:00:21.540418;charging;4.197;0.18;22
2025-10-25; 02:00:47;0:00:21.647830;charging;4.197;0.18;22
2025-10-25; 02:00:47;0:00:21.770239;charging;4.197;0.18;22
2025-10-25; 02:00:47;0:00:21.888871;charging;4.197;0.18;22
2025-10-25; 02:00:48;0:00:21.993937;charging;4.197;0.18;22
2025-10-25; 02:00:48;0:00:22.101999;charging;4.197;0.18;22
2025-10-25; 02:00:48;0:00:22.207416;charging;4.197;0.18;22
2025-10-25; 02:00:48;0:00:22.310505;charging;4.197;0.18;22
2025-10-25; 02:00:48;0:00:22.413681;charging;4.197;0.18;23
2025-10-25; 02:00:48;0:00:22.518964;charging;4.197;0.18;23
2025-10-25; 02:00:48;0:00:22.659671;charging;4.197;0.18;23
2025-10-25; 02:00:48;0:00:22.765205;charging;4.197;0.18;23
2025-10-25; 02:00:48;0:00:22.908902;charging;4.197;0.18;23
2025-10-25; 02:00:49;0:00:23.014138;charging;4.197;0.18;23
2025-10-25; 02:00:49;0:00:23.117868;charging;4.202;0.18;23
2025-10-25; 02:00:49;0:00:23.221060;charging;4.197;0.18;23
2025-10-25; 02:00:49;0:00:23.325011;charging;4.197;0.18;23
2025-10-25; 02:00:49;0:00:23.428019;charging;4.197;0.18;23
2025-10-25; 02:00:49;0:00:23.532929;charging;4.197;0.18;24
2025-10-25; 02:00:49;0:00:23.636577;charging;4.197;0.18;24
2025-10-25; 02:00:49;0:00:23.740390;charging;4.197;0.18;24
2025-10-25; 02:00:49;0:00:23.844288;charging;4.197;0.18;24
2025-10-25; 02:00:50;0:00:23.949954;charging;4.197;0.18;24
2025-10-25; 02:00:50;0:00:24.055898;charging;4.197;0.18;24
2025-10-25; 02:00:50;0:00:24.203519;charging;4.203;0.18;24
2025-10-25; 02:00:50;0:00:24.314795;charging;4.197;0.18;24
2025-10-25; 02:00:50;0:00:24.456285;charging;4.197;0.18;24
2025-10-25; 02:00:50;0:00:24.590630;charging;4.202;0.18;25
2025-10-25; 02:00:50;0:00:24.697141;charging;4.197;0.18;25
2025-10-25; 02:00:50;0:00:24.811413;charging;4.197;0.18;25
2025-10-25; 02:00:50;0:00:24.938300;charging;4.203;0.18;25
2025-10-25; 02:00:51;0:00:25.046724;charging;4.197;0.18;25
2025-10-25; 02:00:51;0:00:25.156875;charging;4.197;0.18;25
2025-10-25; 02:00:51;0:00:25.273756;charging;4.197;0.18;25
2025-10-25; 02:00:51;0:00:25.390486;charging;4.197;0.18;25
2025-10-25; 02:00:51;0:00:25.494837;charging;4.197;0.18;25
2025-10-25; 02:00:51;0:00:25.603045;charging;4.197;0.18;25
2025-10-25; 02:00:51;0:00:25.713957;charging;4.197;0.18;26
2025-10-25; 02:00:51;0:00:25.824114;charging;4.197;0.18;26
2025-10-25; 02:00:51;0:00:25.933427;charging;4.197;0.18;26
2025-10-25; 02:00:52;0:00:26.039163;charging;4.197;0.18;26
2025-10-25; 02:00:52;0:00:26.143110;charging;4.197;0.18;26
2025-10-25; 02:00:52;0:00:26.247574;charging;4.204;0.18;26
2025-10-25; 02:00:52;0:00:26.358142;charging;4.197;0.18;26
2025-10-25; 02:00:52;0:00:26.472989;charging;4.197;0.18;26
2025-10-25; 02:00:52;0:00:26.577269;charging;4.197;0.18;26
2025-10-25; 02:00:52;0:00:26.691553;charging;4.197;0.18;26
2025-10-25; 02:00:52;0:00:26.799386;charging;4.197;0.18;27
2025-10-25; 02:00:52;0:00:26.911438;charging;4.197;0.18;27
2025-10-25; 02:00:53;0:00:27.044852;charging;4.197;0.18;27
2025-10-25; 02:00:53;0:00:27.150467;charging;4.197;0.18;27
2025-10-25; 02:00:53;0:00:27.271426;charging;4.197;0.18;27
2025-10-25; 02:00:53;0:00:27.377443;charging;4.203;0.18;27
2025-10-25; 02:00:53;0:00:27.488473;charging;4.197;0.18;27
2025-10-25; 02:00:53;0:00:27.594245;charging;4.197;0.18;27
2025-10-25; 02:00:53;0:00:27.697840;charging;4.197;0.18;27
2025-10-25; 02:00:53;0:00:27.808432;charging;4.203;0.18;28
2025-10-25; 02:00:53;0:00:27.926831;charging;4.203;0.18;28
2025-10-25; 02:00:54;0:00:28.032718;charging;4.197;0.18;28
